Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Delhi,"Calendar Year (Jan - Dec), 2022","July, 2022",1782086,3251,49065,11133,483080,67.6,968.57,383.55,9786.59
India,Goa,"Calendar Year (Jan - Dec), 2022","July, 2022",143068,0,30,78,455,0,0.46,2.73,8.48
India,Gujarat,"Calendar Year (Jan - Dec), 2022","July, 2022",7433353,2233,21408,5467,65944,75.37,480.5,178.86,1426.8
India,Haryana,"Calendar Year (Jan - Dec), 2022","July, 2022",2837466,0,0,87288,1064944,76.41,258.79,1519.14,12244.09
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",750233,0,0,1,10,0,0.07,0.03,0.19
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","July, 2022",1643093,232,3203,3028,29617,7.86,58.16,105.7,560.29
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","July, 2022",5982586,149,3695,6152,122404,3.6,41.54,147.14,1365.24
India,Karnataka,"Calendar Year (Jan - Dec), 2022","July, 2022",11502887,3724,127375,28558,904845,1.06,16.78,9.95,141.69
India,Kerala,"Calendar Year (Jan - Dec), 2022","July, 2022",4070474,9332,48352,113348,759069,299.31,737.43,3676.16,13185.95
India,Ladakh,"Calendar Year (Jan - Dec), 2022","July, 2022",28957,0,0,0,0,0,0,0,0
