srcYear,srcMonth,srcStateName,Ration cards,Transactions through portability-Inter District under Antyodaya Anna Yojana,Transactions through portability-Inter District under Priority Household,Transactions through portability-Intra District under Antyodaya Anna Yojana,Transactions through portability-Intra District under Priority Household,Quantity distributed through portability Inter Distric under Antyodaya Anna Yojana,Quantity distributed through portability Inter District under Priority Household,Quantity distributed through portability Intra District under Antyodaya Anna Yojana,Quantity distributed through portability Intra District under Priority Household,YearCode,Year,MonthCode,Month
2022,Jul - 2022,Andhra Pradesh,8875214,9353,87265,161359,1647447,3058.89,14037.64,2837.79,12983.6,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Arunachal Pradesh,180490,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Assam,5865421,27,285,10073,73835,0.95,5.88,351.84,1568.19,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Bihar,18416985,16084,140534,642957,5393754,555.99,3210.74,22302.34,121962.14,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Chhattisgarh,5166205,3206,24427,20527,134468,111.84,478.3,604.68,2192.68,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Daman & Diu,60297,455,3537,109,2044,0,0.05,3.68,44.31,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Delhi,1782086,3251,49065,11133,483080,67.6,968.57,383.55,9786.59,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Goa,143068,0,30,78,455,0,0.46,2.73,8.48,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Gujarat,7433353,2233,21408,5467,65944,75.37,480.5,178.86,1426.8,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Haryana,2837466,0,0,87288,1064944,76.41,258.79,1519.14,12244.09,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Himachal Pradesh,750233,0,0,1,10,0,0.07,0.03,0.19,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Jammu And Kashmir,1643093,232,3203,3028,29617,7.86,58.16,105.7,560.29,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Jharkhand,5982586,149,3695,6152,122404,3.6,41.54,147.14,1365.24,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Karnataka,11502887,3724,127375,28558,904845,1.06,16.78,9.95,141.69,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Kerala,4070474,9332,48352,113348,759069,299.31,737.43,3676.16,13185.95,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Ladakh,28957,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Lakshadweep,4748,0,0,78,481,0,0,2.73,11.62,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Madhya Pradesh,11918650,10022,77500,53496,563407,320,1470.82,1806.65,11540.86,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Maharashtra,15417617,11284,99441,48176,745335,373.28,2079.65,1603.63,15755.79,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Mizoram,166763,8,41,23,127,0.28,0.85,0.81,2.7,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Nagaland,311305,1,0,32,947,0.04,0,1.12,18.12,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Odisha,9306426,3,87,119,784,0.11,1.41,4.17,13.14,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Rajasthan,10372259,4085,55932,87018,1773381,141.13,1169.62,3016.94,36389.55,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Sikkim,94575,0,3,39,262,0,0.06,1.37,5.46,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Tamil Nadu,11514013,4740,90435,15746,147719,157.27,1373.68,520.41,2305.2,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Telangana,5436912,24296,259440,96852,1112668,327.17,0,1259.87,20727.43,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Tripura,596090,363,2349,2826,20622,12.25,40.15,123.48,466.15,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Uttarakhand,1384888,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,Uttar Pradesh,36166125,10398,190669,77352,1314454,363.93,3882.71,2707.29,27998.7,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jul - 2022,West Bengal,54677205,1636,17569,40856,330311,56.74,248.46,1419.82,6200.52,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2022,Jun - 2022,Delhi,1781955,1827,47206,10839,467851,62.64,928.52,372.29,9425.11,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Andaman & Nicobar Islands,16751,11,62,99,735,0.38,0.98,3.47,12.82,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Andhra Pradesh,8873654,8968,84801,155482,1579606,2912.36,13286.78,2770.27,12645.14,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Arunachal Pradesh,180490,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Assam,5885527,28,238,8394,62196,0.98,4.91,293.47,1321.71,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Bihar,18380683,15210,133375,637552,5336549,521.53,3023.14,22026.09,119904.86,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Chhattisgarh,5166205,2821,21124,19896,128212,98.41,409.3,591.99,2124.68,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Daman & Diu,60198,322,2351,76,1723,0,0.07,2.63,36.87,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Goa,143068,0,31,12,278,0,0.44,0.42,5.12,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Gujarat,7428004,2079,20543,4756,59179,70.58,464.83,160.28,1313.52,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Haryana,2804022,2209,11517,86670,1026494,76.74,253.38,1509.27,11822.9,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Himachal Pradesh,747023,0,0,0,1,0,0.09,0,0,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Jammu And Kashmir,1642342,182,2368,2889,28495,5.94,42.71,99.86,537.42,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Jharkhand,5962949,124,4792,4301,136133,3.24,46.24,112.88,1285.64,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Karnataka,11482735,3442,120206,27468,867547,1.2,17.67,9.61,137.17,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Kerala,4067968,9088,46278,109946,732718,293.43,707.08,3601.03,12824.33,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Ladakh,28898,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Lakshadweep,4751,0,0,136,746,0,0,4.76,17.75,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Madhya Pradesh,11898268,9341,70744,49310,513447,317.4,1444.26,1664.22,10644.85,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Maharashtra,15401560,11026,97781,47148,729372,362.73,2036.74,1572.02,15430.8,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Manipur,568362,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
